text,fallacy_type,taxonomy_group,clean_text
"company's slogan ""Expect More. Pay Less.""",appeal to emotion,Relevance Fallacy,company slogan expect pay less
"The bigger a child's shoe size, the better the child's handwriting",false causality,Presumption Fallacy,bigger child shoe size better child handwriting
"Since many people believe this, then it must be true",ad populum,Relevance Fallacy,since many people believe must true
Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,circular reasoning,Presumption Fallacy,senator randall isnt lying say care constituentsshe wouldnt lie people care
"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test.",fallacy of relevance,Relevance Fallacy,mother telling daughter went data month daughter begin telling mother getting math test
A mother tells her children not to leave the yard because there might be wild animals in the woods.,appeal to emotion,Relevance Fallacy,mother tell child leave yard might wild animal wood
"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization,Presumption Fallacy,ban hummer bad environment eventually government ban car ban hummer
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,false causality,Presumption Fallacy,time joe go swimming wearing speedos something wearing speedo must make want go swimming
"""You were late tonight. You must be cheating!""",faulty generalization,Presumption Fallacy,late tonight must cheating
"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",false causality,Presumption Fallacy,every time go sleep sun go therefore sleeping cause sun set
"Makes people feel as though everyone is doing it, so they should too.",ad populum,Relevance Fallacy,make people feel though everyone
You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad hominem,Relevance Fallacy,oppose senator proposal extend governmentfunded health care poor minority child senator liberal democrat
"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance,Relevance Fallacy,child fish taste funny dont want eat parent child starving africa eat dinner
"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of extension,Clarity Fallacy,john think hire someone redesign website lola youre saying throw money away external resource instead building inhouse design team thats going hurt company long run
"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion,Relevance Fallacy,beware appeal made feeling logic
"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum,Relevance Fallacy,tap people desire belong group everyone else
Science shows us that improved quality of life comes through research and invention.,equivocation,Clarity Fallacy,science show u improved quality life come research invention
